month,n,pos,neu,neg,unknown,pos_share_%,neu_share_%,neg_share_%
2024-01,831,320,18,419,74,38.5,2.2,50.4
2024-02,901,316,23,477,85,35.1,2.6,52.9
2024-03,1017,291,30,598,98,28.6,2.9,58.8
2024-04,1169,254,45,757,113,21.7,3.8,64.8
2024-05,1241,262,37,820,122,21.1,3.0,66.1
2024-06,1205,190,41,836,138,15.8,3.4,69.4
2024-07,1472,291,59,933,189,19.8,4.0,63.4
2024-08,1820,243,59,1271,247,13.4,3.2,69.8
2024-09,1826,194,57,1365,210,10.6,3.1,74.8
2024-10,2822,300,86,2160,276,10.6,3.0,76.5
2024-11,2303,248,72,1723,260,10.8,3.1,74.8
2024-12,2015,312,64,1374,265,15.5,3.2,68.2
2025-01,1530,342,43,951,194,22.4,2.8,62.2
2025-02,1704,404,40,1030,230,23.7,2.3,60.4
2025-03,1551,399,39,898,215,25.7,2.5,57.9
2025-04,1381,334,39,847,161,24.2,2.8,61.3
2025-05,1129,339,23,585,182,30.0,2.0,51.8
