topic,month,n,pos,neu,neg,unknown,pos_share_%,neu_share_%,neg_share_%
автокредит,2024-01,33,4,1,27,1,12.1,3.0,81.8
автокредит,2024-02,42,4,1,32,5,9.5,2.4,76.2
автокредит,2024-03,32,1,2,24,5,3.1,6.2,75.0
автокредит,2024-04,31,2,3,22,4,6.5,9.7,71.0
автокредит,2024-05,45,6,1,32,6,13.3,2.2,71.1
автокредит,2024-06,35,2,1,31,1,5.7,2.9,88.6
автокредит,2024-07,37,4,0,27,6,10.8,0.0,73.0
автокредит,2024-08,42,3,0,35,4,7.1,0.0,83.3
автокредит,2024-09,47,3,0,35,9,6.4,0.0,74.5
автокредит,2024-10,64,2,0,58,4,3.1,0.0,90.6
автокредит,2024-11,72,2,2,62,6,2.8,2.8,86.1
автокредит,2024-12,66,2,2,54,8,3.0,3.0,81.8
автокредит,2025-01,29,2,0,25,2,6.9,0.0,86.2
автокредит,2025-02,31,0,1,29,1,0.0,3.2,93.5
автокредит,2025-03,23,4,0,16,3,17.4,0.0,69.6
автокредит,2025-04,26,1,1,22,2,3.8,3.8,84.6
автокредит,2025-05,24,2,1,19,2,8.3,4.2,79.2
банкоматы_сбои,2024-01,79,24,2,41,12,30.4,2.5,51.9
банкоматы_сбои,2024-02,83,26,3,46,8,31.3,3.6,55.4
банкоматы_сбои,2024-03,86,21,0,55,10,24.4,0.0,64.0
банкоматы_сбои,2024-04,73,13,2,49,9,17.8,2.7,67.1
банкоматы_сбои,2024-05,70,14,2,46,8,20.0,2.9,65.7
банкоматы_сбои,2024-06,63,10,1,41,11,15.9,1.6,65.1
банкоматы_сбои,2024-07,73,18,0,43,12,24.7,0.0,58.9
банкоматы_сбои,2024-08,83,7,2,59,15,8.4,2.4,71.1
банкоматы_сбои,2024-09,68,9,1,52,6,13.2,1.5,76.5
банкоматы_сбои,2024-10,83,5,3,63,12,6.0,3.6,75.9
банкоматы_сбои,2024-11,74,7,4,50,13,9.5,5.4,67.6
банкоматы_сбои,2024-12,81,11,3,50,17,13.6,3.7,61.7
банкоматы_сбои,2025-01,41,4,1,27,9,9.8,2.4,65.9
банкоматы_сбои,2025-02,41,8,0,26,7,19.5,0.0,63.4
банкоматы_сбои,2025-03,57,13,2,33,9,22.8,3.5,57.9
банкоматы_сбои,2025-04,52,11,2,26,13,21.2,3.8,50.0
банкоматы_сбои,2025-05,41,12,0,19,10,29.3,0.0,46.3
безопасность_мошенничество,2024-01,24,6,0,9,9,25.0,0.0,37.5
безопасность_мошенничество,2024-02,41,1,0,25,15,2.4,0.0,61.0
безопасность_мошенничество,2024-03,40,2,1,28,9,5.0,2.5,70.0
безопасность_мошенничество,2024-04,54,7,2,24,21,13.0,3.7,44.4
безопасность_мошенничество,2024-05,59,6,0,34,19,10.2,0.0,57.6
безопасность_мошенничество,2024-06,83,7,1,49,26,8.4,1.2,59.0
безопасность_мошенничество,2024-07,90,6,2,55,27,6.7,2.2,61.1
безопасность_мошенничество,2024-08,138,2,2,82,52,1.4,1.4,59.4
безопасность_мошенничество,2024-09,107,3,2,67,35,2.8,1.9,62.6
безопасность_мошенничество,2024-10,104,5,1,78,20,4.8,1.0,75.0
безопасность_мошенничество,2024-11,130,7,4,78,41,5.4,3.1,60.0
безопасность_мошенничество,2024-12,147,2,1,110,34,1.4,0.7,74.8
безопасность_мошенничество,2025-01,118,9,0,79,30,7.6,0.0,66.9
безопасность_мошенничество,2025-02,181,10,2,99,70,5.5,1.1,54.7
безопасность_мошенничество,2025-03,136,8,0,78,50,5.9,0.0,57.4
безопасность_мошенничество,2025-04,117,6,1,68,42,5.1,0.9,58.1
безопасность_мошенничество,2025-05,114,6,4,68,36,5.3,3.5,59.6
бизнес_юрлица,2024-01,17,1,1,9,6,5.9,5.9,52.9
бизнес_юрлица,2024-02,22,1,1,14,6,4.5,4.5,63.6
бизнес_юрлица,2024-03,16,1,0,11,4,6.2,0.0,68.8
бизнес_юрлица,2024-04,31,1,3,23,4,3.2,9.7,74.2
бизнес_юрлица,2024-05,17,3,0,11,3,17.6,0.0,64.7
бизнес_юрлица,2024-06,14,1,0,9,4,7.1,0.0,64.3
бизнес_юрлица,2024-07,24,0,3,18,3,0.0,12.5,75.0
бизнес_юрлица,2024-08,25,1,2,15,7,4.0,8.0,60.0
бизнес_юрлица,2024-09,35,4,2,20,9,11.4,5.7,57.1
бизнес_юрлица,2024-10,35,0,2,27,6,0.0,5.7,77.1
бизнес_юрлица,2024-11,29,0,0,19,10,0.0,0.0,65.5
бизнес_юрлица,2024-12,34,2,1,24,7,5.9,2.9,70.6
бизнес_юрлица,2025-01,22,1,2,11,8,4.5,9.1,50.0
бизнес_юрлица,2025-02,17,0,0,13,4,0.0,0.0,76.5
бизнес_юрлица,2025-03,18,0,1,9,8,0.0,5.6,50.0
бизнес_юрлица,2025-04,19,3,2,10,4,15.8,10.5,52.6
бизнес_юрлица,2025-05,15,0,1,10,4,0.0,6.7,66.7
валюта_переводы,2024-01,16,4,0,7,5,25.0,0.0,43.8
валюта_переводы,2024-02,24,6,0,16,2,25.0,0.0,66.7
валюта_переводы,2024-03,34,5,1,26,2,14.7,2.9,76.5
валюта_переводы,2024-04,30,3,4,20,3,10.0,13.3,66.7
валюта_переводы,2024-05,44,8,2,28,6,18.2,4.5,63.6
валюта_переводы,2024-06,40,4,0,32,4,10.0,0.0,80.0
валюта_переводы,2024-07,39,4,2,27,6,10.3,5.1,69.2
валюта_переводы,2024-08,45,6,1,33,5,13.3,2.2,73.3
валюта_переводы,2024-09,64,6,4,46,8,9.4,6.2,71.9
валюта_переводы,2024-10,47,5,2,32,8,10.6,4.3,68.1
валюта_переводы,2024-11,55,3,2,40,10,5.5,3.6,72.7
валюта_переводы,2024-12,42,5,1,30,6,11.9,2.4,71.4
валюта_переводы,2025-01,21,4,1,15,1,19.0,4.8,71.4
валюта_переводы,2025-02,48,9,1,34,4,18.8,2.1,70.8
валюта_переводы,2025-03,29,9,0,17,3,31.0,0.0,58.6
валюта_переводы,2025-04,30,7,0,22,1,23.3,0.0,73.3
валюта_переводы,2025-05,26,12,1,12,1,46.2,3.8,46.2
дистанционное_обслуживание,2024-01,13,2,1,10,0,15.4,7.7,76.9
дистанционное_обслуживание,2024-02,19,3,0,16,0,15.8,0.0,84.2
дистанционное_обслуживание,2024-03,29,4,2,20,3,13.8,6.9,69.0
дистанционное_обслуживание,2024-04,55,9,0,44,2,16.4,0.0,80.0
дистанционное_обслуживание,2024-05,42,2,1,35,4,4.8,2.4,83.3
дистанционное_обслуживание,2024-06,41,4,2,21,14,9.8,4.9,51.2
дистанционное_обслуживание,2024-07,43,4,1,34,4,9.3,2.3,79.1
дистанционное_обслуживание,2024-08,73,2,0,60,11,2.7,0.0,82.2
дистанционное_обслуживание,2024-09,56,3,3,47,3,5.4,5.4,83.9
дистанционное_обслуживание,2024-10,96,3,2,82,9,3.1,2.1,85.4
дистанционное_обслуживание,2024-11,73,3,0,60,10,4.1,0.0,82.2
дистанционное_обслуживание,2024-12,66,10,6,47,3,15.2,9.1,71.2
дистанционное_обслуживание,2025-01,45,7,1,35,2,15.6,2.2,77.8
дистанционное_обслуживание,2025-02,57,7,2,42,6,12.3,3.5,73.7
дистанционное_обслуживание,2025-03,65,20,1,33,11,30.8,1.5,50.8
дистанционное_обслуживание,2025-04,40,8,0,29,3,20.0,0.0,72.5
дистанционное_обслуживание,2025-05,48,16,2,24,6,33.3,4.2,50.0
зарплатный_проект,2024-01,38,8,0,22,8,21.1,0.0,57.9
зарплатный_проект,2024-02,44,12,1,25,6,27.3,2.3,56.8
зарплатный_проект,2024-03,36,11,0,21,4,30.6,0.0,58.3
зарплатный_проект,2024-04,42,6,2,29,5,14.3,4.8,69.0
зарплатный_проект,2024-05,48,5,2,38,3,10.4,4.2,79.2
зарплатный_проект,2024-06,42,9,1,19,13,21.4,2.4,45.2
зарплатный_проект,2024-07,43,6,2,27,8,14.0,4.7,62.8
зарплатный_проект,2024-08,55,7,1,39,8,12.7,1.8,70.9
зарплатный_проект,2024-09,53,4,0,41,8,7.5,0.0,77.4
зарплатный_проект,2024-10,158,10,1,128,19,6.3,0.6,81.0
зарплатный_проект,2024-11,78,2,3,63,10,2.6,3.8,80.8
зарплатный_проект,2024-12,85,5,6,54,20,5.9,7.1,63.5
зарплатный_проект,2025-01,57,5,3,37,12,8.8,5.3,64.9
зарплатный_проект,2025-02,71,0,1,41,29,0.0,1.4,57.7
зарплатный_проект,2025-03,55,11,0,32,12,20.0,0.0,58.2
зарплатный_проект,2025-04,47,8,1,27,11,17.0,2.1,57.4
зарплатный_проект,2025-05,47,8,1,25,13,17.0,2.1,53.2
идентификация_кик,2024-01,1,1,0,0,0,100.0,0.0,0.0
идентификация_кик,2024-02,6,0,0,4,2,0.0,0.0,66.7
идентификация_кик,2024-03,3,0,0,3,0,0.0,0.0,100.0
идентификация_кик,2024-04,7,2,0,3,2,28.6,0.0,42.9
идентификация_кик,2024-05,8,0,0,8,0,0.0,0.0,100.0
идентификация_кик,2024-06,3,0,0,2,1,0.0,0.0,66.7
идентификация_кик,2024-07,3,0,0,2,1,0.0,0.0,66.7
идентификация_кик,2024-08,5,0,0,4,1,0.0,0.0,80.0
идентификация_кик,2024-09,10,1,0,7,2,10.0,0.0,70.0
идентификация_кик,2024-10,16,1,0,14,1,6.2,0.0,87.5
идентификация_кик,2024-11,5,0,0,4,1,0.0,0.0,80.0
идентификация_кик,2024-12,12,0,1,10,1,0.0,8.3,83.3
идентификация_кик,2025-01,9,0,0,6,3,0.0,0.0,66.7
идентификация_кик,2025-02,11,1,0,9,1,9.1,0.0,81.8
идентификация_кик,2025-03,4,1,0,1,2,25.0,0.0,25.0
идентификация_кик,2025-04,8,0,0,5,3,0.0,0.0,62.5
идентификация_кик,2025-05,3,0,0,2,1,0.0,0.0,66.7
инвестиции_брокер,2024-01,110,28,5,69,8,25.5,4.5,62.7
инвестиции_брокер,2024-02,130,27,8,88,7,20.8,6.2,67.7
инвестиции_брокер,2024-03,214,42,12,145,15,19.6,5.6,67.8
инвестиции_брокер,2024-04,307,39,19,231,18,12.7,6.2,75.2
инвестиции_брокер,2024-05,291,39,11,220,21,13.4,3.8,75.6
инвестиции_брокер,2024-06,267,36,12,195,24,13.5,4.5,73.0
инвестиции_брокер,2024-07,303,33,24,215,31,10.9,7.9,71.0
